age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,education_ordered,age_bins
57,retired,divorced,university.degree,no,no,no,0.0,jul,tue,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,0,university.degree,"(55, 65]"
27,admin.,single,professional.course,no,yes,yes,0.0,apr,thu,3.0,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,professional.course,"(25, 35]"
55,technician,married,basic.9y,unknown,no,no,1.0,may,mon,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0,basic.9y,"(45, 55]"
56,retired,married,basic.6y,no,yes,no,0.0,may,wed,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,basic.6y,"(55, 65]"
51,admin.,married,university.degree,no,yes,yes,1.0,nov,fri,3.0,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,0,university.degree,"(45, 55]"
30,admin.,single,university.degree,no,yes,no,1.0,jul,tue,3.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,university.degree,"(25, 35]"
36,services,married,high.school,unknown,yes,no,0.0,may,thu,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,high.school,"(35, 45]"
32,self-employed,single,high.school,no,yes,no,1.0,nov,mon,1.0,999,1,failure,-0.1,93.2,-42.0,4.191,5195.8,0,high.school,"(25, 35]"
32,admin.,married,university.degree,no,yes,no,0.0,may,thu,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,university.degree,"(25, 35]"
41,technician,married,professional.course,no,no,no,0.0,may,mon,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,professional.course,"(35, 45]"
44,blue-collar,married,basic.6y,no,no,no,1.0,nov,wed,3.0,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,basic.6y,"(35, 45]"
32,technician,married,university.degree,no,yes,no,1.0,nov,wed,1.0,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,university.degree,"(25, 35]"
49,admin.,divorced,professional.course,no,yes,yes,1.0,aug,mon,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0,professional.course,"(45, 55]"
66,retired,married,basic.4y,no,yes,no,1.0,jul,mon,6.0,999,0,nonexistent,-1.7,94.215,-40.3,0.87,4991.6,1,basic.4y,"(65, 75]"
47,admin.,married,university.degree,no,yes,yes,1.0,dec,mon,5.0,999,0,nonexistent,-3.0,92.713,-33.0,0.717,5023.5,0,university.degree,"(45, 55]"
43,technician,single,professional.course,unknown,yes,no,1.0,jul,tue,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,professional.course,"(35, 45]"
46,technician,married,professional.course,no,yes,yes,1.0,sep,thu,2.0,999,1,failure,-3.4,92.379,-29.8,0.809,5017.5,0,professional.course,"(45, 55]"
55,retired,married,basic.9y,unknown,yes,no,1.0,jul,thu,6.0,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0,basic.9y,"(45, 55]"
44,admin.,married,university.degree,no,no,no,1.0,aug,wed,2.0,4,1,success,-2.9,92.201,-31.4,0.879,5076.2,0,university.degree,"(35, 45]"
56,blue-collar,married,basic.9y,no,yes,no,1.0,nov,thu,1.0,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,1,basic.9y,"(55, 65]"
38,blue-collar,single,basic.6y,no,yes,yes,1.0,may,wed,1.0,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,0,basic.6y,"(35, 45]"
29,self-employed,single,university.degree,no,no,yes,0.0,nov,mon,1.0,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,university.degree,"(25, 35]"
42,entrepreneur,married,university.degree,no,yes,no,1.0,jul,thu,4.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,university.degree,"(35, 45]"
34,admin.,married,university.degree,no,yes,no,0.0,jun,mon,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,university.degree,"(25, 35]"
33,blue-collar,married,basic.9y,no,yes,no,0.0,may,thu,5.0,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,basic.9y,"(25, 35]"
54,admin.,divorced,high.school,no,no,yes,1.0,nov,fri,1.0,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,high.school,"(45, 55]"
44,technician,married,professional.course,no,yes,no,1.0,apr,wed,1.0,999,1,failure,-1.8,93.075,-47.1,1.415,5099.1,0,professional.course,"(35, 45]"
43,admin.,single,university.degree,no,yes,no,1.0,aug,wed,5.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,university.degree,"(35, 45]"
59,retired,divorced,university.degree,unknown,no,no,1.0,jul,tue,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,university.degree,"(55, 65]"
32,technician,married,professional.course,no,yes,no,1.0,may,mon,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0,professional.course,"(25, 35]"
41,admin.,divorced,university.degree,no,no,no,1.0,apr,tue,4.0,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0,university.degree,"(35, 45]"
39,services,single,basic.9y,unknown,yes,no,1.0,apr,mon,2.0,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,basic.9y,"(35, 45]"
30,technician,single,university.degree,no,no,yes,1.0,nov,thu,4.0,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,university.degree,"(25, 35]"
30,management,married,university.degree,no,yes,no,0.0,mar,mon,6.0,999,0,nonexistent,-1.8,92.843,-50.0,1.811,5099.1,0,university.degree,"(25, 35]"
34,blue-collar,single,basic.9y,no,no,no,1.0,may,mon,2.0,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0,basic.9y,"(25, 35]"
31,technician,married,university.degree,no,yes,yes,1.0,aug,wed,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,university.degree,"(25, 35]"
33,blue-collar,married,basic.6y,unknown,no,no,0.0,may,wed,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,basic.6y,"(25, 35]"
31,admin.,single,university.degree,no,no,no,1.0,nov,thu,2.0,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,university.degree,"(25, 35]"
30,technician,single,professional.course,no,no,no,1.0,sep,tue,1.0,999,3,failure,-1.1,94.199,-37.5,0.877,4963.6,0,professional.course,"(25, 35]"
41,technician,married,professional.course,unknown,no,no,0.0,may,mon,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,professional.course,"(35, 45]"
59,blue-collar,married,basic.4y,unknown,yes,no,1.0,aug,wed,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,basic.4y,"(55, 65]"
40,admin.,divorced,university.degree,no,no,no,1.0,aug,mon,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,university.degree,"(35, 45]"
47,technician,married,professional.course,unknown,yes,no,0.0,may,tue,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,professional.course,"(45, 55]"
45,admin.,married,high.school,no,no,no,0.0,may,wed,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,high.school,"(35, 45]"
36,management,single,high.school,no,yes,no,1.0,apr,mon,1.0,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,high.school,"(35, 45]"
53,admin.,married,university.degree,no,no,yes,1.0,jun,mon,1.0,999,0,nonexistent,-2.9,92.963,-40.8,1.215,5076.2,0,university.degree,"(45, 55]"
48,blue-collar,married,basic.9y,unknown,yes,no,0.0,may,wed,6.0,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,basic.9y,"(45, 55]"
42,technician,married,professional.course,no,yes,yes,1.0,aug,mon,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,professional.course,"(35, 45]"
37,technician,married,university.degree,no,no,no,1.0,nov,thu,1.0,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,university.degree,"(35, 45]"
74,retired,divorced,basic.4y,no,yes,no,1.0,oct,mon,2.0,999,0,nonexistent,-1.1,94.601,-49.5,1.0,4963.6,0,basic.4y,"(65, 75]"
45,admin.,married,university.degree,no,no,no,1.0,jul,tue,4.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,university.degree,"(35, 45]"
53,technician,married,professional.course,unknown,no,no,0.0,jun,fri,6.0,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,professional.course,"(45, 55]"
46,blue-collar,married,basic.4y,unknown,no,yes,0.0,may,fri,6.0,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,basic.4y,"(45, 55]"
38,technician,divorced,high.school,no,no,no,1.0,aug,mon,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,high.school,"(35, 45]"
31,admin.,single,university.degree,no,yes,no,1.0,jul,tue,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,university.degree,"(25, 35]"
54,management,divorced,university.degree,no,yes,no,0.0,may,tue,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,university.degree,"(45, 55]"
40,services,married,high.school,no,yes,no,0.0,jun,wed,6.0,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,high.school,"(35, 45]"
37,technician,married,professional.course,no,yes,no,1.0,jul,fri,5.0,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0,professional.course,"(35, 45]"
24,management,single,university.degree,no,no,yes,0.0,nov,mon,1.0,999,0,nonexistent,-0.1,93.2,-42.0,4.406,5195.8,0,university.degree,"(15, 25]"
29,admin.,married,high.school,no,yes,no,1.0,sep,thu,3.0,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,0,high.school,"(25, 35]"
29,blue-collar,married,high.school,no,yes,no,1.0,may,wed,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,high.school,"(25, 35]"
40,blue-collar,married,basic.9y,no,yes,no,1.0,may,tue,3.0,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0,basic.9y,"(35, 45]"
46,admin.,married,high.school,unknown,yes,no,0.0,jun,mon,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0,high.school,"(45, 55]"
47,services,married,high.school,unknown,yes,yes,0.0,may,mon,6.0,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,unknown,"(45, 55]"
25,blue-collar,married,basic.4y,no,no,yes,0.0,jul,thu,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,1,basic.4y,"(15, 25]"
41,housemaid,married,basic.4y,unknown,no,no,1.0,aug,thu,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,basic.4y,"(35, 45]"
50,admin.,married,high.school,no,no,no,1.0,jul,wed,3.0,999,0,nonexistent,-2.9,92.469,-33.6,1.085,5076.2,1,high.school,"(45, 55]"
25,student,single,high.school,no,no,no,0.0,apr,wed,1.0,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,1,high.school,"(15, 25]"
47,admin.,married,university.degree,unknown,no,yes,0.0,may,tue,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,university.degree,"(45, 55]"
59,housemaid,married,basic.6y,no,no,no,0.0,jun,fri,3.0,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,0,basic.6y,"(55, 65]"
34,blue-collar,single,basic.4y,no,no,no,1.0,jul,wed,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,basic.4y,"(25, 35]"
48,blue-collar,married,basic.9y,no,no,no,1.0,aug,mon,3.0,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,1,unknown,"(45, 55]"
37,entrepreneur,married,university.degree,no,no,yes,0.0,may,fri,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,university.degree,"(35, 45]"
41,technician,divorced,basic.4y,no,yes,no,0.0,jun,fri,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,basic.4y,"(35, 45]"
53,management,married,university.degree,no,no,yes,0.0,jul,tue,3.0,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,0,university.degree,"(45, 55]"
49,blue-collar,married,basic.9y,no,no,no,1.0,may,thu,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0,basic.9y,"(45, 55]"
24,admin.,single,high.school,no,yes,yes,0.0,jul,thu,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,0,high.school,"(15, 25]"
30,technician,single,university.degree,unknown,yes,no,1.0,aug,thu,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0,university.degree,"(25, 35]"
44,technician,divorced,professional.course,no,no,no,0.0,may,wed,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,professional.course,"(35, 45]"
41,services,married,high.school,no,no,no,0.0,may,fri,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,high.school,"(35, 45]"
36,technician,married,professional.course,no,no,no,0.0,jun,fri,3.0,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,professional.course,"(35, 45]"
36,management,married,university.degree,no,no,yes,1.0,may,mon,4.0,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0,university.degree,"(35, 45]"
30,admin.,single,high.school,no,yes,no,1.0,may,mon,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0,high.school,"(25, 35]"
51,admin.,divorced,basic.9y,unknown,yes,no,0.0,may,mon,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,basic.9y,"(45, 55]"
34,admin.,married,university.degree,no,yes,yes,1.0,aug,tue,3.0,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,university.degree,"(25, 35]"
68,retired,single,university.degree,no,no,no,1.0,sep,mon,2.0,999,1,failure,-3.4,92.379,-29.8,0.739,5017.5,0,university.degree,"(65, 75]"
46,blue-collar,married,basic.6y,no,no,no,0.0,jun,thu,6.0,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,basic.6y,"(45, 55]"
29,services,single,high.school,no,yes,no,0.0,may,thu,1.0,999,0,nonexistent,-1.8,93.876,-40.0,0.699,5008.7,1,high.school,"(25, 35]"
43,management,married,university.degree,no,yes,no,1.0,nov,thu,4.0,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,0,university.degree,"(35, 45]"
39,admin.,married,high.school,no,no,no,1.0,may,thu,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,high.school,"(35, 45]"
32,blue-collar,single,professional.course,no,no,no,1.0,may,tue,6.0,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0,professional.course,"(25, 35]"
42,entrepreneur,married,basic.9y,no,yes,no,1.0,apr,thu,3.0,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,basic.9y,"(35, 45]"
53,self-employed,single,university.degree,no,no,yes,1.0,nov,thu,2.0,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,0,university.degree,"(45, 55]"
28,technician,divorced,professional.course,unknown,yes,no,0.0,may,thu,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,professional.course,"(25, 35]"
33,unemployed,married,basic.9y,no,yes,no,0.0,nov,wed,1.0,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,basic.9y,"(25, 35]"
46,blue-collar,married,basic.4y,no,no,no,1.0,aug,mon,3.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,basic.4y,"(45, 55]"
33,admin.,married,university.degree,no,yes,no,1.0,aug,fri,6.0,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,university.degree,"(25, 35]"
36,admin.,single,university.degree,no,yes,no,1.0,aug,thu,3.0,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,university.degree,"(35, 45]"
35,services,married,basic.9y,no,no,no,1.0,apr,thu,1.0,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,0,basic.9y,"(25, 35]"
41,entrepreneur,married,basic.4y,no,yes,no,0.0,jun,wed,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,basic.4y,"(35, 45]"
34,admin.,married,university.degree,no,no,no,0.0,jul,wed,4.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,university.degree,"(25, 35]"
31,entrepreneur,divorced,university.degree,no,no,no,1.0,jul,fri,6.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,university.degree,"(25, 35]"
45,blue-collar,single,basic.6y,no,yes,no,0.0,may,wed,5.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,basic.6y,"(35, 45]"
47,self-employed,married,basic.4y,unknown,yes,no,0.0,jun,tue,6.0,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,basic.4y,"(45, 55]"
42,admin.,single,university.degree,no,yes,no,0.0,jun,wed,2.0,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,0,university.degree,"(35, 45]"
51,technician,married,university.degree,no,yes,no,1.0,jun,tue,1.0,10,1,success,-1.7,94.055,-39.8,0.702,4991.6,1,university.degree,"(45, 55]"
48,services,divorced,high.school,no,no,yes,1.0,jul,mon,4.0,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,high.school,"(45, 55]"
27,admin.,single,high.school,no,no,no,1.0,jul,tue,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,high.school,"(25, 35]"
69,admin.,married,university.degree,no,yes,yes,1.0,sep,tue,2.0,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,0,university.degree,"(65, 75]"
28,self-employed,single,university.degree,no,yes,no,0.0,mar,wed,1.0,999,1,failure,-1.8,93.369,-34.8,0.651,5008.7,0,university.degree,"(25, 35]"
28,services,married,high.school,no,no,no,1.0,jul,tue,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,high.school,"(25, 35]"
39,management,married,university.degree,no,no,no,1.0,aug,thu,6.0,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,1,university.degree,"(35, 45]"
52,self-employed,single,professional.course,no,no,yes,1.0,nov,thu,1.0,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,professional.course,"(45, 55]"
55,technician,married,university.degree,unknown,yes,no,1.0,aug,wed,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,university.degree,"(45, 55]"
50,services,single,high.school,no,yes,no,1.0,jul,wed,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,high.school,"(45, 55]"
40,blue-collar,married,basic.4y,unknown,yes,yes,1.0,nov,thu,1.0,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,basic.4y,"(35, 45]"
50,blue-collar,married,basic.6y,no,yes,no,0.0,may,mon,4.0,3,2,success,-1.8,92.893,-46.2,1.354,5099.1,1,basic.6y,"(45, 55]"
35,blue-collar,married,professional.course,no,yes,no,1.0,nov,mon,1.0,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,professional.course,"(25, 35]"
31,blue-collar,married,basic.9y,no,yes,no,0.0,jun,tue,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,basic.9y,"(25, 35]"
35,admin.,single,university.degree,no,no,yes,0.0,may,wed,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,university.degree,"(25, 35]"
35,blue-collar,married,basic.6y,no,yes,no,1.0,may,tue,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0,basic.6y,"(25, 35]"
48,admin.,divorced,university.degree,no,no,no,1.0,may,tue,6.0,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0,university.degree,"(45, 55]"
43,admin.,married,high.school,no,yes,yes,1.0,jul,mon,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,high.school,"(35, 45]"
44,services,married,high.school,no,yes,no,1.0,apr,fri,1.0,999,2,failure,-1.8,93.075,-47.1,1.479,5099.1,0,high.school,"(35, 45]"
46,admin.,married,university.degree,unknown,yes,no,1.0,aug,tue,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,university.degree,"(45, 55]"
33,self-employed,single,high.school,no,yes,no,1.0,may,tue,1.0,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0,high.school,"(25, 35]"
38,blue-collar,married,basic.6y,unknown,no,no,0.0,jun,tue,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,basic.6y,"(35, 45]"
51,self-employed,single,basic.9y,no,yes,no,1.0,nov,thu,1.0,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,1,basic.9y,"(45, 55]"
48,services,married,basic.4y,unknown,yes,no,1.0,aug,tue,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,basic.4y,"(45, 55]"
46,management,married,university.degree,no,no,yes,1.0,jul,fri,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,university.degree,"(45, 55]"
78,retired,married,basic.4y,no,no,yes,1.0,aug,wed,1.0,999,0,nonexistent,-2.9,92.201,-31.4,0.834,5076.2,0,basic.4y,"(75, 85]"
34,technician,divorced,professional.course,no,no,no,0.0,aug,fri,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,professional.course,"(25, 35]"
46,management,married,university.degree,no,no,no,1.0,may,mon,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0,university.degree,"(45, 55]"
